Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Gunawan Dianjaya Steel Tbk.",GDST,"Metal And Allied Products",31/03/2020," December",9.24,554.55,37.5,399.41,1980,1180,808.52,-8.09,-2.29,-107.53,0,-47,173,87,-3,1,87,0,-1.28,0.35,0.69,-17.15,0,0.0548,-0.0057,-0.2692,-0.3697,-0.5319,-0.2168,1.4536,0.0087,0.2095,0.7294
"Gunung Raja Paksi Tbk.",GGRP,"Metal And Allied Products",31/03/2020," December",12.11,3170,31.2,2749.32,14980,5334.84,9697.52,1122.1,66.36,13.165,0,4.2,908.6,800.8,371,29.4,800.8,0,51.64,0.25,0.28,0.6,0,0.0735,0.0241,0.0047,0.003,0.0054,0.0035,0.5501,0.1168,0.1932,1.2796
"Indonesia Fibreboard Industry",IFII,"Wood Industries",31/03/2020," December",9.41,1260,127.6,168.95,1130,140.31,991.15,19.68,26.93,18.91,0,8,72,105,8,1,105,0,16.75,1.87,1.28,16.02,0,0.3054,0.1593,0.1119,0.1398,0.0763,0.0668,0.1416,0.1131,1.6821,3.2324
"Champion Pacific Indonesia Tbk",IGAR,"Plastics & Packaging",31/03/2020," December",0.9722,252.77,169.9,188.89,656.35,107.82,393.03,19.84,13.41,8.31,5,34,777,404,82,195,564,0.0192,7.65,0.33,0.64,3.18,0.1471,0.1409,0.0709,0.0439,0.0528,0.0845,0.0506,0.2743,2.2678,4.4308,5.819
"Impack Pratama Industri Tbk.",IMPC,"Plastics & Packaging",31/03/2020," December",4.83,6110,332.9,412.53,2710,1250,1240,80.38,54.63,59.67,10,49,341,256,67,49,303,0.0079,25.82,3.71,4.94,19.02,0.2041,0.3661,0.1324,0.1446,0.1496,0.1927,0.0879,1.0105,0.429,1.0914,2.1977
"Indal Aluminium Industry Tbk.",INAI,"Metal And Allied Products",31/03/2020," December",0.6336,229.36,132,329.45,1280,957.64,320.67,-92.02,21.79,1.4,60,9,2080,506,-581,56,506,0.1657,40.22,0.17,0.72,-0.62,6.6667,0.1389,0.0661,0.0042,-0.0111,0.0175,0.0043,2.9863,0.0401,0.7467,1.0498
"Indo Komoditi Korpora Tbk.",INCF,"Chemicals ",31/12/2019," December",1.44,71.92,40.6,535.72,467.73,319.66,146.76,14.2,35.41,-4.2,0,-3,372,102,10,18,103,0,-16.67,0.13,0.49,5.06,0,0.1136,0.066,-0.0078,-0.0662,-0.0286,-0.0089,2.1782,0.0876,0.7561,0.8909
"Intanwijaya Internasional Tbk",INCI,Chemicals,31/03/2020," December",0.19612,97.28,49.3,100.5,441.92,85.34,354.91,14.69,11.39,15.23,6.07,311,2050,1810,300,382,1818,0.0122,1.59,0.24,0.27,1.66,0.0195,0.2334,0.1133,0.1515,0.188,0.1716,0.1378,0.2405,0.9838,2.5322,3.0699
"Indah Kiat Pulp & Paper Tbk.",INKP,"Pulp & Paper",31/03/2020," December",5.47,42540,400.6,0.78047,8.39,4.2,4.18,0.21504,0.16789,0.17931,100,0.1311,0.5706,0.7642,0.1572,0.1464,0.7643,0.0129,3.62,0.83,0.62,3.02,0.0466,0.316,0.2151,0.2297,0.1609,0.1715,0.0855,1.0058,0.4603,2.1676,2.3792
"Inocycle Technology Group Tbk.",INOV,"Others - Basic Industry And Ch",31/03/2020," December",1.81,448.44,99.2,133.64,697.17,397.19,299.98,-33.06,1.18,-31.19,0,-69,296,166,-73,37,166,0,-3.59,0.84,1.49,-3.39,0,0.1419,0.0088,-0.2333,-0.3334,-0.4158,-0.1789,1.3241,0.2341,0.7557,1.202
"Toba Pulp Lestari Tbk.",INRU,"Pulp & Paper",31/03/2020," December",1.39,1180,8.6,503.72,6609.96,4531.38,2078.58,87.5,-49.7,-29.54,0,-85.4,1450.4,1496.6,252,4.2,1496.6,0,-8.54,0.5,0.49,2.88,0,0.0099,-0.0987,-0.0587,-0.1417,-0.0568,-0.0178,2.18,0.0055,0.0966,0.4727
