Company_Name,Code_Name,Subsector,MR_Quarter,Fin_Yr_End,Iss_Share,Mar_Cap,St_Ind,Sales,Assets,Liability,Equity,Cash_Flow,Op_Profit,Net_Profit,DPS,EPS,RPS,BVPS,CFPS,CEPS,NAVS,Div_Yield,PER,PSR,PBVR,PCFR,DPR,GPM,OPM,NPM,EBITM,ROE,ROA,DER,CR,QR,CRR
"Fuji Finance Indonesia Tbk.",FUJI,"Financial Institution",31/03/2020," December",1.11,117.13,96.4,2.23,138.19,1.27,136.93,0.13693,1.58,1.35,0,5,8,124,-7,52,124,0,21.2,13.13,0.85,-14.75,0,0,0.7062,0.6062,0.6497,0.0394,0.0391,0.0093,48.4432,0,116.184
"Equity Development Investment",GSMF,"Others - Finance",31/03/2020," December",7.45,842.38,9.1,272.26,4830,3310,1400,1.4,65.87,-14.71,0,-8,146,188,-4,31,203,0,-14.13,0.77,0.6,-28.35,0,0,0.2419,-0.054,-0.0318,-0.0419,-0.0121,2.3621,0.0709,0,1.059
"Radana Bhaskara Finance Tbk.",HDFA,"Financial Institution",31/03/2020," December",6.1,975.52,80,27.34,1130,555.31,577.69,0.57769,-9.88,-13.25,0,-9,18,95,53,72,95,0,-17.78,8.92,1.68,3.05,0,0,-0.3613,-0.4847,-0.991,-0.0917,-0.0467,0.9613,0.8851,0,1.8375
"Intan Baruprana Finance Tbk.",IBFN,"Financial Institution",31/03/2020," December",1.52,455.2,21.2,3.7,1510,1230,276.85,0.27685,-4.9,1.48,0,4,10,182,18,15,182,0,75,30.75,1.65,16.23,0,0,-1.3254,0.4005,-3.187,0.0214,0.0039,4.4454,0.1089,0,4.0947
"Indomobil Multi Jasa Tbk.",IMJS,"Financial Institution",31/03/2020," December",5.77,1420,49.2,1160,26360,23200,2860,2.86,109.61,24.04,1,17,802,496,-19,172,548,0.0041,14.47,0.31,0.5,-12.82,0.0588,0.3992,0.0947,0.0207,-0.1175,0.0335,0.0036,8.1041,0.0831,0.6872,0.6922
"Bank Artha Graha Internasional",INPC,Bank,31/03/2020," December",15.8,805.61,0.3,473.08,25110,21860,3250,3.25,-2.2,11.04,0,3,120,206,69,117,206,0,17,0.43,0.25,0.73,0,0,-0.0046,0.0233,0,0.0135,0.0017,6.7257,0.0843,0.9403,0.9403
"Asuransi Jiwa Syariah Jasa Mit",JMAS,Insurance,30/06/2019," December",1,220,157.1,17.86,226.49,111.06,115.43,0.11543,1.76,1.78,0,4,36,115,41,45,115,0,55,6.16,1.91,5.33,0,0,0.0985,0.0994,0.0994,0.0307,0.0156,0.9621,0.4809,0,2.3889
"Asuransi Jiwa Sinarmas MSIG Tb",LIFE,Insurance,31/03/2020," December",2.1,15750,124,169.84,14890,7440,7440,7.44,-782.36,80.97,74,154,324,3545,-730,454,3545,0.0099,48.7,23.18,2.12,-10.27,0.4805,0,-4.6064,0.4767,0.5794,0.0435,0.0217,0.9999,0.1326,0,1.9706
"Lippo General Insurance Tbk.",LPGI,Insurance,31/03/2020," December",0.15,562.5,168.5,331.09,2590,1790,798.79,0.79879,29.39,34.35,325,916,8829,5325,700,152,5325,0.0867,4.09,0.42,0.7,5.35,0.3548,0,0.0887,0.1037,0.1073,0.172,0.053,2.2433,0.0134,0,1.4052
"Lippo Securities Tbk.",LPPS,"Securities Company",31/03/2020," December",2.59,222.59,5.8,-10.13,1050,7.55,1040,1.04,-15.27,-9.81,0,-15,-16,401,-1,3,401,0,-5.73,-5.49,0.21,-155.46,0,0,1.5075,0.9683,0.988,-0.0378,-0.0375,0.0073,50.4451,0,535.636
"Bank Mayapada Internasional Tb",MAYA,Bank,31/03/2020," December",6.83,44410,2802.8,1220,89210,77360,11840,11.84,91.78,79.22,0,46,715,1733,-255,697,1733,0,141.3,9.09,3.75,-25.45,0,0,0.0751,0.0648,0,0.0267,0.0035,6.533,0.0617,0.8467,0.8467
"Bank China Construction Bank I",MCOR,Bank,31/03/2020," December",29.53,4520,137.2,350.46,20100,17310,2790,2.79,34.62,33.16,0,4,84,94,-31,84,168,0,38.25,1.82,1.63,-4.94,0,0,0.0987,0.0946,0,0.0475,0.0066,6.2114,0.0806,1.0785,1.0785
"Bank Mega Tbk.",MEGA,Bank,31/03/2020," December",6.96,43700,4574,2660,99260,83560,15700,15.7,761.13,669.39,143.794,384,1529,2254,-1530,1121,2254,0.0229,16.34,4.1,2.78,-4.1,0.3745,0,0.2859,0.2514,0,0.1705,0.0269,5.3224,0.0934,1.0006,1.0006
"Mandala Multifinance Tbk.",MFIN,"Financial Institution",31/03/2020," December",2.65,2700,1046.2,462.74,4920,2550,2370,2.37,279.52,107.12,50,162,698,894,-199,13,894,0.049,6.3,1.46,1.14,-5.14,0.3086,0,0.604,0.2314,0.1717,0.1809,0.0871,1.077,0.3185,0,44.1777
"Maskapai Reasuransi Indonesia",MREI,Insurance,31/03/2020," December",0.51779,2630,460.3,379.42,4080,2560,1520,1.52,84.52,32.07,50,248,2931,2943,563,100,2943,0.0099,20.46,1.73,1.72,9.01,0.2016,0,0.2227,0.0845,0.0802,0.0841,0.0314,1.6766,0.0208,0,1.2263
"Malacca Trust Wuwungan Insuran",MTWI,Insurance,31/03/2020," December",1.53,76.29,50,29.79,503.55,376.93,126.62,0.12662,-0.11405,-3.69,0,-10,78,83,47,20,83,0,-5,0.64,0.6,1.07,0,0,-0.0038,-0.1239,-0.1239,-0.1166,-0.0293,2.9769,0.0861,0,1.2928
"Bank OCBC NISP Tbk.",NISP,Bank,31/03/2020," December",22.95,16750,442.3,3970,191460,163510,27940,27.94,1120,790.96,0,138,693,1218,-1024,478,1218,0,5.29,1.05,0.6,-0.71,0,0,0.2808,0.1989,0,0.1132,0.0165,5.8513,0.0679,1.118,1.118
"Bank Nationalnobu Tbk.",NOBU,Bank,31/03/2020," December",4.44,3240,194.7,218.44,12810,11360,1450,1.45,15.49,16.14,0,15,197,326,-8,166,326,0,48.67,3.71,2.24,-93.84,0,0,0.0709,0.0738,0,0.0445,0.005,7.8426,0.0648,1.1048,1.1048
"Minna Padi Investama Sekuritas",PADI,"Securities Company",31/03/2020," December",11.31,565.36,98.9,-78.88,312.52,28.14,284.38,0.28438,-83.93,-82.19,0,-29,-28,25,-2,1,25,0,-1.72,-1.79,2,-30.09,0,0,1.0639,1.0419,1.0448,-1.156,-1.0519,0.099,0.562,0,14.3799
"Panin Sekuritas Tbk.",PANS,"Securities Company",31/03/2020," December",0.72,622.8,629.1,-188.46,1800,675.14,1110,1.11,-231.66,-218.02,100,-1211,-1047,1543,2667,59,1566,0.1156,-0.71,-0.83,0.56,0.32,-0.0826,0,1.2292,1.1568,1.3086,-0.7851,-0.4837,0.6079,0.0676,0,2.7469
"Bank Pan Indonesia Tbk",PNBN,Bank,31/03/2020," December",24.08,19620,1213.3,4580,205680,163220,39360,39.36,976.42,684.29,0,114,761,1635,-319,455,1764,0,7.15,1.07,0.5,-2.56,0,0,0.2131,0.1493,0,0.0695,0.0133,4.1468,0.0691,1.1307,1.1307
"Bank Panin Dubai Syariah Tbk.",PNBS,Bank,31/03/2020," December",23.96,1200,50,211.21,10800,9100,1700,1.7,5.71,5.34,0,1,35,71,-58,16,71,0,50,1.42,0.7,-0.86,0,0,0.027,0.0252,0,0.0125,0.0019,5.3581,0.0429,0.1891,0.1891
"Paninvest Tbk.",PNIN,"Others - Finance",31/03/2020," December",4.07,2970,776.3,59.87,30720,3960,15840,15.84,-605.75,40.8,0,40,59,3894,73,1247,6578,0,18.25,12.4,0.19,10.03,0,0,-10.1177,0.6815,0.6871,0.0103,0.0053,0.2501,1.4199,0,8.3757
"Panin Financial Tbk.",PNLF,"Others - Finance",31/03/2020," December",32.02,5760,194.6,587.95,28980,3950,22990,22.99,-46.91,408.52,0,51,73,718,9,147,782,0,3.53,2.45,0.25,19.29,0,0,-0.0797,0.6948,0.6954,0.071,0.0563,0.1717,1.3084,0,7.9383
"Pool Advista Finance Tbk.",POLA,"Financial Institution",31/03/2020," December",2.73,139.12,51,5.83,357.58,22.29,335.28,0.33528,0.93884,-4.3,0,-6,9,123,21,9,123,0,-8.5,5.97,0.41,2.43,0,0,0.161,-0.7375,-0.8564,-0.0512,-0.048,0.0665,22.0639,0,265.81
