Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-23,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-24,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-25,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-26,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-27,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-04-30,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-05-01,1430.000000,1430.000000,1430.000000,1430.000000,1341.599976,0
2018-05-02,1400.000000,1505.000000,1400.000000,1505.000000,1411.963623,16500
2018-05-03,1560.000000,1880.000000,1560.000000,1880.000000,1763.781860,44600
2018-05-04,1970.000000,2350.000000,1970.000000,2350.000000,2204.727295,232000
2018-05-07,2930.000000,2930.000000,2400.000000,2930.000000,2748.872803,1191500
2018-05-08,3200.000000,3660.000000,3030.000000,3660.000000,3433.745361,583800
2018-05-09,3700.000000,4570.000000,3090.000000,3700.000000,3471.272705,372000
2018-05-10,3700.000000,3700.000000,3700.000000,3700.000000,3471.272705,0
2018-05-11,3740.000000,3740.000000,3000.000000,3060.000000,2870.836426,240800
2018-05-14,3090.000000,3300.000000,2980.000000,3100.000000,2908.363525,83700
2018-05-15,3100.000000,3310.000000,3090.000000,3210.000000,3011.563721,73600
2018-05-16,3210.000000,3880.000000,3210.000000,3760.000000,3527.563721,115500
2018-05-17,3760.000000,3960.000000,3710.000000,3890.000000,3649.527344,100300
2018-05-18,3890.000000,3900.000000,3400.000000,3450.000000,3236.727295,21700
2018-05-21,3500.000000,3650.000000,3460.000000,3620.000000,3396.218262,53400
2018-05-22,3650.000000,3750.000000,3650.000000,3670.000000,3443.127197,32500
2018-05-23,3700.000000,3940.000000,3700.000000,3890.000000,3649.527344,125200
2018-05-24,3930.000000,3930.000000,3750.000000,3770.000000,3536.945557,15600
2018-05-25,3700.000000,3700.000000,3600.000000,3600.000000,3377.454590,6100
2018-05-28,3610.000000,3800.000000,3600.000000,3600.000000,3377.454590,108200
2018-05-29,3600.000000,3600.000000,3600.000000,3600.000000,3377.454590,0
2018-05-30,3520.000000,3520.000000,3400.000000,3500.000000,3283.636475,45800
2018-05-31,3500.000000,3500.000000,3300.000000,3480.000000,3264.872803,18000
2018-06-01,3480.000000,3480.000000,3480.000000,3480.000000,3264.872803,0
2018-06-04,3500.000000,3530.000000,3400.000000,3510.000000,3293.018066,164600
2018-06-05,3510.000000,4380.000000,3510.000000,4380.000000,4109.236328,482400
2018-06-06,4450.000000,5475.000000,4450.000000,5450.000000,5113.090820,1723400
2018-06-07,5500.000000,6500.000000,5450.000000,6350.000000,5957.454590,1853300
2018-06-08,6500.000000,7550.000000,6350.000000,7475.000000,7012.909180,2350900
2018-06-11,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-12,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-13,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-14,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-15,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-18,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-19,7475.000000,7475.000000,7475.000000,7475.000000,7012.909180,0
2018-06-20,7475.000000,8925.000000,6400.000000,8375.000000,7857.272949,1934100
2018-06-21,8375.000000,8375.000000,8375.000000,8375.000000,7857.272949,0
2018-06-22,8350.000000,9850.000000,8350.000000,9600.000000,9006.545898,2174100
2018-06-25,9850.000000,10600.000000,9000.000000,9200.000000,8631.272461,1249100
